Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin,Order Month,Order Year
US-2022-100022,2022-02-25,2022-02-26,Second Class,Joseph Johnson,Home Office,United States,New York,East,Technology,Phones,495.79,3,0.0,82.69,0.1667843240081486,2022-02,2022
US-2023-100023,2023-12-11,2023-12-13,Same Day,Thomas Moore,Corporate,United States,Massachusetts,East,Office Supplies,Storage,14.95,3,0.1,1.39,0.09297658862876254,2023-12,2023
US-2023-100024,2023-12-07,2023-12-13,Standard Class,Jennifer Martinez,Consumer,United States,Washington,West,Office Supplies,Art,60.99,4,0.0,13.39,0.21954418757173308,2023-12,2023
US-2024-100025,2024-08-16,2024-08-20,Standard Class,Karen Moore,Consumer,United States,New Jersey,East,Technology,Phones,449.77,2,0.0,85.54,0.19018609511528117,2024-08,2024
US-2023-100026,2023-04-15,2023-04-22,Standard Class,William Lopez,Consumer,United States,Alabama,South,Office Supplies,Envelopes,19.12,2,0.3,0.43,0.022489539748953975,2023-04,2023
US-2022-100027,2022-01-14,2022-01-15,Second Class,James Jones,Corporate,United States,Arizona,West,Office Supplies,Labels,28.48,3,0.15,2.31,0.08110955056179775,2022-01,2022
US-2023-100028,2023-06-24,2023-07-01,First Class,Robert Martinez,Home Office,United States,Texas,Central,Office Supplies,Paper,68.6,4,0.1,9.25,0.1348396501457726,2023-06,2023
US-2023-100029,2023-01-20,2023-01-23,First Class,Jennifer Smith,Corporate,United States,Illinois,Central,Technology,Machines,599.49,6,0.0,69.82,0.11646566247977447,2023-01,2023
US-2022-100030,2022-07-11,2022-07-13,Second Class,John Martin,Consumer,United States,California,West,Office Supplies,Binders,13.98,1,0.1,1.81,0.12947067238912732,2022-07,2022
US-2023-100031,2023-12-15,2023-12-22,Second Class,David Davis,Home Office,United States,New York,East,Office Supplies,Paper,178.22,8,0.2,13.93,0.0781618224666143,2023-12,2023
US-2022-100032,2022-04-25,2022-04-29,Same Day,David Miller,Consumer,United States,Ohio,Central,Technology,Accessories,389.25,7,0.15,16.26,0.04177263969171484,2022-04,2022
US-2023-100033,2023-09-30,2023-10-03,Same Day,Susan Martinez,Consumer,United States,Tennessee,South,Office Supplies,Paper,9.79,1,0.2,0.33,0.03370786516853933,2023-09,2023
US-2024-100034,2024-03-04,2024-03-09,First Class,Jennifer Rodriguez,Consumer,United States,Arizona,West,Office Supplies,Appliances,14.15,1,0.2,1.23,0.08692579505300353,2024-03,2024
US-2024-100035,2024-07-20,2024-07-25,First Class,Sarah Taylor,Consumer,United States,Virginia,East,Furniture,Bookcases,718.51,7,0.3,-139.49,-0.19413786864483445,2024-07,2024
US-2024-100036,2024-05-08,2024-05-12,Standard Class,Jennifer Hernandez,Corporate,United States,Georgia,South,Office Supplies,Art,20.13,1,0.15,2.29,0.11376055638350721,2024-05,2024
US-2023-100037,2023-06-09,2023-06-12,Standard Class,Thomas Taylor,Home Office,United States,Georgia,South,Technology,Accessories,855.52,8,0.15,12.38,0.014470731251168881,2023-06,2023
US-2022-100038,2022-12-08,2022-12-12,Standard Class,Michael Williams,Corporate,United States,Florida,South,Furniture,Furnishings,792.27,7,0.5,-191.26,-0.24140760094412259,2022-12,2022
US-2024-100039,2024-01-05,2024-01-10,Standard Class,Elizabeth Anderson,Consumer,United States,New York,East,Office Supplies,Supplies,15.73,1,0.1,1.75,0.1112523839796567,2024-01,2024
US-2023-100040,2023-03-30,2023-04-06,First Class,Linda Taylor,Consumer,United States,Washington,West,Furniture,Chairs,808.13,6,0.1,-76.45,-0.09460111615705394,2023-03,2023
US-2023-100041,2023-07-15,2023-07-18,Second Class,Thomas Johnson,Consumer,United States,Illinois,Central,Office Supplies,Supplies,93.64,9,0.2,9.29,0.09920973942759503,2023-07,2023
US-2022-100042,2022-06-05,2022-06-08,First Class,James Jackson,Consumer,United States,Georgia,South,Office Supplies,Art,132.21,8,0.15,14.46,0.10937145450419787,2022-06,2022
US-2022-100043,2022-09-13,2022-09-19,Standard Class,Joseph Johnson,Corporate,United States,Arizona,West,Office Supplies,Supplies,78.01,7,0.0,17.13,0.21958723240610176,2022-09,2022
US-2023-100044,2023-03-09,2023-03-10,Standard Class,Richard Hernandez,Consumer,United States,Arizona,West,Office Supplies,Supplies,6.68,1,0.0,0.94,0.1407185628742515,2023-03,2023
US-2022-100045,2022-02-17,2022-02-18,Standard Class,Charles Davis,Consumer,United States,Pennsylvania,East,Office Supplies,Labels,108.63,8,0.0,14.25,0.1311792322562828,2022-02,2022
US-2022-100046,2022-01-02,2022-01-05,Standard Class,William Williams,Consumer,United States,Washington,West,Office Supplies,Art,17.87,2,0.0,3.03,0.16955791829882483,2022-01,2022
US-2023-100047,2023-06-14,2023-06-16,Standard Class,Richard Davis,Consumer,United States,Oregon,West,Technology,Phones,61.15,3,0.1,0.85,0.013900245298446443,2023-06,2023
US-2023-100048,2023-04-06,2023-04-13,First Class,Linda Martinez,Consumer,United States,Virginia,East,Furniture,Chairs,605.33,7,0.0,24.59,0.04062247038805279,2023-04,2023
US-2023-100049,2023-12-08,2023-12-13,Standard Class,Karen Moore,Home Office,United States,Virginia,East,Furniture,Bookcases,669.11,5,0.15,-88.99,-0.13299756392820314,2023-12,2023
US-2024-100050,2024-02-12,2024-02-19,Second Class,Thomas Johnson,Consumer,United States,Ohio,Central,Furniture,Tables,675.48,8,0.3,-122.1,-0.18076034819683778,2024-02,2024
US-2023-100051,2023-07-03,2023-07-09,Standard Class,Thomas Moore,Consumer,United States,Alabama,South,Office Supplies,Storage,48.33,2,0.1,7.59,0.15704531346989448,2023-07,2023
US-2022-100052,2022-06-15,2022-06-20,First Class,Jessica Taylor,Consumer,United States,Illinois,Central,Furniture,Furnishings,1078.86,7,0.2,-2.2,-0.0020391895148582765,2022-06,2022
US-2022-100053,2022-03-02,2022-03-04,Same Day,William Williams,Corporate,United States,Ohio,Central,Office Supplies,Art,42.19,8,0.0,7.43,0.17610808248400095,2022-03,2022
US-2024-100054,2024-05-30,2024-06-02,Second Class,Barbara Wilson,Corporate,United States,California,West,Technology,Accessories,310.86,5,0.0,25.71,0.08270604130476741,2024-05,2024
US-2022-100055,2022-02-21,2022-02-26,Second Class,Michael Rodriguez,Consumer,United States,Arizona,West,Furniture,Tables,257.15,2,0.0,1.99,0.007738673925724286,2022-02,2022
US-2023-100056,2023-07-21,2023-07-23,Standard Class,William Davis,Corporate,United States,Alabama,South,Office Supplies,Storage,40.27,7,0.1,5.27,0.1308666501117457,2023-07,2023
US-2024-100057,2024-02-12,2024-02-19,Standard Class,Susan Rodriguez,Consumer,United States,North Carolina,South,Furniture,Chairs,566.03,6,0.0,-3.95,-0.006978428705192305,2024-02,2024
US-2022-100058,2022-08-01,2022-08-04,Standard Class,Linda Martinez,Corporate,United States,Tennessee,South,Technology,Accessories,51.05,5,0.3,-2.98,-0.05837414299706171,2022-08,2022
US-2023-100059,2023-03-21,2023-03-22,Standard Class,Patricia Brown,Corporate,United States,Michigan,Central,Office Supplies,Storage,71.51,8,0.2,3.12,0.04363026150188785,2023-03,2023
US-2023-100060,2023-01-13,2023-01-19,Second Class,Richard Hernandez,Consumer,United States,California,West,Technology,Phones,894.79,7,0.1,70.04,0.07827534952335186,2023-01,2023
US-2023-100061,2023-05-20,2023-05-24,Standard Class,John Williams,Corporate,United States,Texas,Central,Technology,Machines,140.41,1,0.1,8.52,0.06067943878641122,2023-05,2023
US-2022-100062,2022-09-01,2022-09-03,Standard Class,David Jackson,Corporate,United States,Pennsylvania,East,Technology,Machines,134.44,1,0.3,-12.73,-0.09468908063076466,2022-09,2022
US-2022-100063,2022-05-08,2022-05-09,Standard Class,William Martinez,Consumer,United States,New York,East,Office Supplies,Envelopes,23.16,1,0.15,-0.11,-0.004749568221070812,2022-05,2022
US-2024-100064,2024-05-26,2024-06-01,Standard Class,Jessica Rodriguez,Consumer,United States,Pennsylvania,East,Technology,Copiers,1773.59,9,0.5,-423.18,-0.2386008040189672,2024-05,2024
US-2024-100065,2024-03-27,2024-04-02,Standard Class,Michael Wilson,Home Office,United States,Pennsylvania,East,Furniture,Furnishings,425.66,7,0.0,22.1,0.05191937226894705,2024-03,2024
US-2022-100066,2022-10-24,2022-10-30,Standard Class,John Moore,Consumer,United States,Oregon,West,Office Supplies,Paper,68.73,4,0.2,3.62,0.05266986759784664,2022-10,2022
US-2023-100067,2023-01-20,2023-01-22,Standard Class,William Jones,Corporate,United States,Georgia,South,Furniture,Tables,109.02,2,0.1,1.94,0.017794900018345258,2023-01,2023
US-2022-100068,2022-12-06,2022-12-10,Same Day,Mary Martin,Corporate,United States,Virginia,East,Technology,Machines,1126.14,5,0.0,117.24,0.10410783739144332,2022-12,2022
US-2023-100069,2023-03-28,2023-04-01,Same Day,Michael Williams,Consumer,United States,Georgia,South,Office Supplies,Labels,52.14,4,0.0,9.4,0.18028385116992712,2023-03,2023
US-2023-100070,2023-07-09,2023-07-16,First Class,Mary Thomas,Corporate,United States,Tennessee,South,Furniture,Chairs,164.34,2,0.0,15.33,0.09328221978824389,2023-07,2023
US-2023-100071,2023-06-13,2023-06-17,Standard Class,Barbara Martinez,Consumer,United States,California,West,Office Supplies,Envelopes,42.22,6,0.2,-5.17,-0.12245381335859783,2023-06,2023
US-2022-100072,2022-02-20,2022-02-27,First Class,Robert Davis,Home Office,United States,Tennessee,South,Office Supplies,Labels,45.43,4,0.15,4.08,0.08980849658815761,2022-02,2022
US-2024-100073,2024-01-24,2024-01-25,Standard Class,Barbara Thomas,Consumer,United States,New Jersey,East,Office Supplies,Envelopes,63.14,5,0.0,14.28,0.2261640798226164,2024-01,2024
US-2024-100074,2024-07-10,2024-07-15,Second Class,Joseph Davis,Home Office,United States,Alabama,South,Office Supplies,Art,24.17,3,0.1,2.4,0.09929664873810508,2024-07,2024
US-2022-100075,2022-04-01,2022-04-06,Second Class,William Jones,Home Office,United States,Oregon,West,Furniture,Chairs,991.99,9,0.1,6.5,0.006552485408119034,2022-04,2022
US-2022-100076,2022-10-30,2022-11-02,Second Class,Jessica Taylor,Corporate,United States,Oregon,West,Office Supplies,Art,232.66,9,0.2,12.68,0.054500128943522734,2022-10,2022
US-2022-100077,2022-07-09,2022-07-14,Standard Class,Elizabeth Garcia,Corporate,United States,Ohio,Central,Office Supplies,Supplies,47.28,4,0.1,5.68,0.12013536379018612,2022-07,2022
US-2022-100078,2022-01-20,2022-01-27,Standard Class,David Lopez,Consumer,United States,Massachusetts,East,Office Supplies,Binders,73.85,3,0.2,-1.68,-0.02274881516587678,2022-01,2022
US-2022-100079,2022-10-08,2022-10-10,Second Class,Elizabeth Hernandez,Home Office,United States,Wisconsin,Central,Furniture,Chairs,294.51,3,0.0,23.8,0.08081219652982921,2022-10,2022
US-2023-100080,2023-09-18,2023-09-19,Standard Class,Richard Jackson,Home Office,United States,Ohio,Central,Office Supplies,Binders,68.75,3,0.1,6.53,0.09498181818181818,2023-09,2023
US-2022-100081,2022-06-26,2022-07-03,Second Class,Thomas Taylor,Consumer,United States,Arizona,West,Office Supplies,Labels,60.74,8,0.1,9.41,0.15492262100757326,2022-06,2022
US-2024-100082,2024-07-12,2024-07-15,First Class,Linda Martin,Consumer,United States,Georgia,South,Technology,Phones,1305.01,8,0.2,-13.32,-0.010206818338556793,2024-07,2024
US-2023-100083,2023-09-26,2023-09-29,First Class,David Wilson,Home Office,United States,Nevada,West,Office Supplies,Art,53.89,3,0.1,10.38,0.1926145852662832,2023-09,2023
US-2022-100084,2022-12-03,2022-12-07,Standard Class,Mary Martinez,Home Office,United States,Texas,Central,Furniture,Bookcases,1153.38,8,0.0,46.31,0.040151554561376125,2022-12,2022
US-2022-100085,2022-01-27,2022-01-30,Standard Class,Michael Wilson,Corporate,United States,Washington,West,Furniture,Bookcases,240.57,4,0.5,-57.21,-0.23781020077316375,2022-01,2022
US-2023-100086,2023-10-26,2023-10-30,Second Class,James Jones,Corporate,United States,Pennsylvania,East,Technology,Accessories,65.85,2,0.0,6.99,0.10615034168564921,2023-10,2023
US-2022-100087,2022-01-24,2022-01-31,Standard Class,Michael Williams,Consumer,United States,Ohio,Central,Technology,Machines,243.61,1,0.2,11.86,0.04868437256270267,2022-01,2022
US-2023-100088,2023-11-04,2023-11-10,Standard Class,Susan Rodriguez,Corporate,United States,New Jersey,East,Furniture,Chairs,455.12,4,0.2,-49.94,-0.10972930216206714,2023-11,2023
US-2022-100089,2022-08-10,2022-08-17,Standard Class,Mary Miller,Consumer,United States,Nevada,West,Office Supplies,Storage,46.58,3,0.0,7.54,0.16187204808930872,2022-08,2022
US-2023-100090,2023-03-13,2023-03-19,Standard Class,Joseph Thomas,Home Office,United States,Texas,Central,Furniture,Bookcases,534.62,7,0.15,25.96,0.048557854176798476,2023-03,2023
US-2023-100091,2023-03-31,2023-04-06,First Class,Elizabeth Smith,Corporate,United States,Pennsylvania,East,Office Supplies,Storage,17.23,1,0.2,1.09,0.0632617527568195,2023-03,2023
US-2023-100092,2023-01-03,2023-01-06,Standard Class,Elizabeth Wilson,Consumer,United States,Ohio,Central,Office Supplies,Binders,24.42,2,0.2,2.31,0.09459459459459459,2023-01,2023
US-2023-100093,2023-12-01,2023-12-08,First Class,Patricia Taylor,Home Office,United States,New York,East,Office Supplies,Storage,81.72,8,0.1,10.26,0.12555066079295155,2023-12,2023
US-2022-100094,2022-08-09,2022-08-13,Second Class,Elizabeth Moore,Corporate,United States,Tennessee,South,Furniture,Furnishings,441.35,6,0.2,-52.63,-0.11924776254673163,2022-08,2022
US-2024-100095,2024-07-19,2024-07-24,First Class,Thomas Garcia,Corporate,United States,North Carolina,South,Furniture,Bookcases,318.85,4,0.1,-4.54,-0.014238670221107103,2024-07,2024
US-2023-100096,2023-06-06,2023-06-08,Standard Class,David Moore,Home Office,United States,Pennsylvania,East,Office Supplies,Art,62.09,3,0.15,7.55,0.12159768078595586,2023-06,2023
US-2024-100097,2024-04-19,2024-04-26,Standard Class,Jennifer Martinez,Corporate,United States,Massachusetts,East,Furniture,Furnishings,130.31,1,0.4,-19.87,-0.15248254163149413,2024-04,2024
US-2022-100098,2022-08-03,2022-08-10,Standard Class,Joseph Brown,Consumer,United States,California,West,Office Supplies,Appliances,9.52,1,0.1,1.34,0.14075630252100843,2022-08,2022
US-2023-100099,2023-06-10,2023-06-13,First Class,William Thomas,Consumer,United States,Georgia,South,Furniture,Chairs,486.13,4,0.0,19.79,0.04070927529673132,2023-06,2023
US-2023-100100,2023-09-12,2023-09-15,Standard Class,Richard Anderson,Consumer,United States,Florida,South,Furniture,Chairs,282.08,2,0.2,-1.54,-0.005459444129325015,2023-09,2023
US-2023-100101,2023-04-14,2023-04-21,Standard Class,Karen Jackson,Consumer,United States,Georgia,South,Office Supplies,Envelopes,22.11,1,0.0,2.74,0.12392582541836275,2023-04,2023
US-2023-100102,2023-02-02,2023-02-08,Standard Class,Susan Williams,Corporate,United States,Arizona,West,Office Supplies,Storage,86.06,6,0.0,18.15,0.21089937253079244,2023-02,2023
US-2023-100103,2023-03-16,2023-03-20,Standard Class,Linda Garcia,Consumer,United States,North Carolina,South,Office Supplies,Binders,89.69,8,0.4,-6.15,-0.06856951722600067,2023-03,2023
US-2023-100104,2023-10-21,2023-10-24,Standard Class,Elizabeth Wilson,Corporate,United States,North Carolina,South,Office Supplies,Binders,50.72,5,0.0,9.03,0.17803627760252366,2023-10,2023
US-2024-100105,2024-02-20,2024-02-24,Second Class,Elizabeth Smith,Corporate,United States,Virginia,East,Office Supplies,Envelopes,92.94,7,0.2,8.65,0.09307079836453627,2024-02,2024
US-2023-100106,2023-01-28,2023-01-29,Second Class,William Wilson,Consumer,United States,Florida,South,Technology,Phones,830.84,9,0.0,74.79,0.09001733185691589,2023-01,2023
US-2022-100107,2022-08-28,2022-09-01,First Class,Mary Johnson,Consumer,United States,Illinois,Central,Technology,Machines,279.73,2,0.2,-18.55,-0.06631394559039074,2022-08,2022
US-2022-100108,2022-06-10,2022-06-14,Same Day,Richard Thomas,Consumer,United States,North Carolina,South,Office Supplies,Paper,11.03,7,0.1,1.79,0.16228467815049866,2022-06,2022
US-2023-100109,2023-08-03,2023-08-06,Same Day,Charles Anderson,Corporate,United States,Tennessee,South,Technology,Machines,353.57,2,0.1,16.78,0.04745877761122268,2023-08,2023
US-2023-100110,2023-02-22,2023-02-23,Standard Class,Mary Davis,Consumer,United States,North Carolina,South,Office Supplies,Art,42.39,2,0.2,3.4,0.080207596131163,2023-02,2023
US-2023-100111,2023-03-10,2023-03-15,Standard Class,Richard Williams,Consumer,United States,Tennessee,South,Office Supplies,Labels,62.57,6,0.1,2.62,0.04187310212561931,2023-03,2023
US-2022-100112,2022-05-20,2022-05-25,Standard Class,Jessica Miller,Home Office,United States,North Carolina,South,Office Supplies,Envelopes,6.63,2,0.0,1.48,0.22322775263951736,2022-05,2022
US-2024-100113,2024-09-17,2024-09-24,Standard Class,James Jackson,Home Office,United States,Georgia,South,Office Supplies,Appliances,69.11,8,0.1,9.81,0.14194761973665174,2024-09,2024
US-2023-100114,2023-12-07,2023-12-11,First Class,David Lopez,Consumer,United States,Arizona,West,Furniture,Bookcases,241.36,3,0.0,18.85,0.07809910507126284,2023-12,2023
US-2023-100115,2023-12-24,2023-12-28,Standard Class,William Wilson,Home Office,United States,New York,East,Furniture,Tables,71.24,1,0.1,-2.06,-0.02891633913531724,2023-12,2023
US-2022-100116,2022-10-14,2022-10-16,First Class,Michael Jones,Home Office,United States,Washington,West,Furniture,Furnishings,1253.24,9,0.3,-102.79,-0.0820194057004245,2022-10,2022
US-2024-100117,2024-07-11,2024-07-17,Second Class,John Smith,Consumer,United States,Georgia,South,Furniture,Tables,277.16,3,0.3,-15.61,-0.056321258478856974,2024-07,2024
US-2022-100118,2022-12-28,2022-12-30,Standard Class,James Williams,Corporate,United States,Oregon,West,Office Supplies,Binders,91.63,4,0.0,18.03,0.1967696169376842,2022-12,2022
US-2024-100119,2024-05-10,2024-05-12,Same Day,David Jackson,Consumer,United States,Florida,South,Furniture,Bookcases,330.33,3,0.1,6.2,0.01876910967820059,2024-05,2024
US-2022-100120,2022-03-05,2022-03-07,Second Class,Thomas Smith,Home Office,United States,Texas,Central,Furniture,Tables,229.56,2,0.3,-22.36,-0.09740372887262588,2022-03,2022
US-2023-100121,2023-09-17,2023-09-24,Same Day,Jennifer Thomas,Consumer,United States,Virginia,East,Technology,Machines,158.05,2,0.0,26.83,0.16975640620056942,2023-09,2023
US-2022-100122,2022-07-02,2022-07-07,Standard Class,Joseph Williams,Consumer,United States,Nevada,West,Office Supplies,Envelopes,48.63,3,0.15,6.38,0.13119473575981902,2022-07,2022
US-2024-100123,2024-04-02,2024-04-03,Same Day,Jennifer Smith,Consumer,United States,Ohio,Central,Furniture,Tables,564.24,6,0.1,-18.06,-0.032007656316461075,2024-04,2024
US-2022-100124,2022-03-08,2022-03-14,Same Day,William Martin,Home Office,United States,Michigan,Central,Office Supplies,Supplies,142.55,6,0.15,14.9,0.10452472816555594,2022-03,2022
US-2024-100125,2024-03-12,2024-03-18,First Class,Sarah Brown,Corporate,United States,Washington,West,Furniture,Chairs,473.05,7,0.1,-7.43,-0.015706584927597505,2024-03,2024
US-2023-100126,2023-11-03,2023-11-10,Standard Class,David Taylor,Consumer,United States,Washington,West,Office Supplies,Storage,73.77,9,0.1,12.5,0.169445574081605,2023-11,2023
US-2022-100127,2022-12-16,2022-12-17,Standard Class,John Williams,Consumer,United States,Michigan,Central,Office Supplies,Art,57.98,4,0.2,2.93,0.050534667126595385,2022-12,2022
US-2022-100128,2022-07-17,2022-07-20,Second Class,Robert Wilson,Consumer,United States,Virginia,East,Furniture,Chairs,325.41,3,0.3,-36.93,-0.11348760025813588,2022-07,2022
US-2023-100129,2023-01-25,2023-01-27,Standard Class,Elizabeth Rodriguez,Consumer,United States,Massachusetts,East,Furniture,Chairs,252.16,3,0.15,-23.6,-0.09359137055837564,2023-01,2023
US-2024-100130,2024-03-26,2024-03-28,Standard Class,Michael Rodriguez,Consumer,United States,Massachusetts,East,Office Supplies,Appliances,52.79,5,0.0,13.0,0.24625876112900172,2024-03,2024
US-2022-100131,2022-06-24,2022-06-27,Standard Class,David Rodriguez,Consumer,United States,Nevada,West,Technology,Accessories,280.72,2,0.1,29.41,0.10476631518951267,2022-06,2022
US-2023-100132,2023-05-13,2023-05-18,First Class,Charles Rodriguez,Corporate,United States,Ohio,Central,Technology,Copiers,31.19,6,0.5,-9.9,-0.31740942609810835,2023-05,2023
US-2023-100133,2023-12-12,2023-12-13,Second Class,Patricia Lopez,Home Office,United States,Georgia,South,Furniture,Chairs,659.32,6,0.1,3.61,0.0054753382272644535,2023-12,2023
US-2024-100134,2024-03-04,2024-03-05,Standard Class,Michael Jones,Consumer,United States,Florida,South,Office Supplies,Art,62.05,8,0.3,-0.81,-0.013053988718775182,2024-03,2024
US-2023-100135,2023-03-08,2023-03-11,Standard Class,Elizabeth Taylor,Home Office,United States,Arizona,West,Technology,Machines,1535.72,9,0.0,63.96,0.04164821712291303,2023-03,2023
US-2023-100136,2023-11-13,2023-11-18,First Class,Joseph Williams,Corporate,United States,North Carolina,South,Technology,Accessories,374.54,2,0.2,-2.73,-0.0072889411010839955,2023-11,2023
US-2024-100137,2024-08-18,2024-08-20,Standard Class,Sarah Williams,Corporate,United States,Virginia,East,Office Supplies,Storage,62.65,4,0.1,2.55,0.040702314445331206,2024-08,2024
US-2024-100138,2024-04-15,2024-04-21,Standard Class,Sarah Lopez,Corporate,United States,Ohio,Central,Office Supplies,Paper,32.06,2,0.15,-0.66,-0.020586400499064253,2024-04,2024
US-2022-100139,2022-05-21,2022-05-24,Standard Class,William Garcia,Consumer,United States,Massachusetts,East,Furniture,Tables,62.39,4,0.0,0.05,0.0008014104824491105,2022-05,2022
US-2023-100140,2023-11-22,2023-11-23,Standard Class,Michael Taylor,Corporate,United States,Wisconsin,Central,Office Supplies,Paper,152.15,9,0.1,20.07,0.1319093000328623,2023-11,2023
US-2022-100141,2022-05-12,2022-05-14,First Class,Jennifer Thomas,Home Office,United States,Wisconsin,Central,Office Supplies,Appliances,49.77,2,0.0,9.44,0.1896724934699618,2022-05,2022
US-2022-100142,2022-09-12,2022-09-14,First Class,Linda Garcia,Consumer,United States,Illinois,Central,Office Supplies,Appliances,22.63,2,0.1,6.01,0.26557666813963765,2022-09,2022
US-2023-100143,2023-03-10,2023-03-16,Standard Class,Mary Thomas,Consumer,United States,California,West,Office Supplies,Art,34.23,2,0.3,-4.01,-0.11714869997078586,2023-03,2023
US-2023-100144,2023-09-11,2023-09-15,Second Class,David Jackson,Home Office,United States,Tennessee,South,Office Supplies,Appliances,97.54,7,0.2,11.14,0.11420955505433668,2023-09,2023
US-2022-100145,2022-02-16,2022-02-22,Standard Class,William Garcia,Corporate,United States,California,West,Office Supplies,Labels,25.52,2,0.0,2.69,0.10540752351097178,2022-02,2022
US-2024-100146,2024-02-26,2024-03-04,Standard Class,Susan Williams,Corporate,United States,Michigan,Central,Office Supplies,Storage,201.37,9,0.2,8.2,0.04072106073397228,2024-02,2024
US-2024-100147,2024-03-25,2024-04-01,Same Day,Thomas Jackson,Consumer,United States,New Jersey,East,Office Supplies,Supplies,17.0,2,0.15,3.06,0.18,2024-03,2024
US-2022-100148,2022-10-12,2022-10-16,Standard Class,Thomas Johnson,Consumer,United States,Michigan,Central,Technology,Accessories,1024.03,8,0.5,-177.41,-0.17324687753288479,2022-10,2022
